idx,county,year,type,vmt sum,days,vmt min,vmt max,vmt sumsqr,vmt mean
336,YOLO,2007,detector based,4081242120.8600006,365,6065377.739999999,44825970.3,64557221186736450,11181485.262630139
337,YOLO,2007,hpms based,4148117522.9947686,365,6718469.4521088535,29464728.171324447,52496676389465820,11364705.54245142
338,YOLO,2008,detector based,3126651287.3600006,366,5563327.11,10900073.78,27223071822611596,8542763.080218581
339,YOLO,2008,hpms based,4596871506.14947,366,7695579.338770664,15870423.493652109,59114197492003940,12559758.213523144
340,YOLO,2009,detector based,2150434061.5499997,365,1928332.05,8269358.649999999,13315129548103998,5891600.168630136
341,YOLO,2009,hpms based,4399213498.516069,365,2835187.7891230523,16256131.89811127,54555067662341300,12052639.721961834
342,YUBA,2007,detector based,0,365,0,0,0,0
343,YUBA,2007,hpms based,2041416699.958334,365,3965607.181588534,7136591.092994724,11568328129794070,5592922.465639271
344,YUBA,2008,detector based,66034403.39,366,0,906365.8,49513764390151.27,180421.86718579236
345,YUBA,2008,hpms based,1886902533.958335,366,3411449.5759471916,6744541.65294116,9852618216575404,5155471.4042577455
346,YUBA,2009,detector based,298943398.4,365,85628.79999999999,1060591.8,248983464476777.03,819023.0093150685
347,YUBA,2009,hpms based,1990190958.583332,365,3722049.2681242335,8940566.802922038,11004740365838512,5452577.968721458
